bea_code,windc_label,windc_aggr_label,category,description,description_code
531HST,rnt_hou,hou,goods,Tenant-occupied housing,Tenant-occupied housing (531HST)
333994,ipf_mch,mch,goods,Industrial process furnace and oven manufacturing,Industrial process furnace and oven manufacturing (333994)
33399A,ogp_mch,mch,goods,Other general purpose machinery manufacturing,Other general purpose machinery manufacturing (33399A)
33399B,fld_mch,mch,goods,Fluid power process machinery,Fluid power process machinery (33399B)
334111,ecm_cep,cep,goods,Electronic computer manufacturing,Electronic computer manufacturing (334111)
334112,csd_cep,cep,goods,Computer storage device manufacturing,Computer storage device manufacturing (334112)
334118,ctm_cep,cep,goods,Computer terminals and other computer peripheral equipment manufacturing,Computer terminals and other computer peripheral equipment manufacturing (334118)
334210,tel_cep,cep,goods,Telephone apparatus manufacturing,Telephone apparatus manufacturing (334210)
334220,brd_cep,cep,goods,Broadcast and wireless communications equipment,Broadcast and wireless communications equipment (334220)
334290,oce_cep,cep,goods,Other communications equipment manufacturing,Other communications equipment manufacturing (334290)
334413,sem_cep,cep,goods,Semiconductor and related device manufacturing,Semiconductor and related device manufacturing (334413)
334418,prc_cep,cep,goods,Printed circuit assembly (electronic assembly) manufacturing,Printed circuit assembly (electronic assembly) manufacturing (334418)
33441A,oec_cep,cep,goods,Other electronic component manufacturing,Other electronic component manufacturing (33441A)
334510,eea_cep,cep,goods,Electromedical and electrotherapeutic apparatus manufacturing,Electromedical and electrotherapeutic apparatus manufacturing (334510)
334511,sdn_cep,cep,goods,"Search, detection, and navigation instruments manufacturing","Search, detection, and navigation instruments manufacturing (334511)"
334512,aec_cep,cep,goods,Automatic environmental control manufacturing,Automatic environmental control manufacturing (334512)
334513,ipv_cep,cep,goods,Industrial process variable instruments manufacturing,Industrial process variable instruments manufacturing (334513)
334514,tfl_cep,cep,goods,Totalizing fluid meter and counting device manufacturing,Totalizing fluid meter and counting device manufacturing (334514)
334515,els_cep,cep,goods,Electricity and signal testing instruments manufacturing,Electricity and signal testing instruments manufacturing (334515)
334516,ali_cep,cep,goods,Analytical laboratory instrument manufacturing,Analytical laboratory instrument manufacturing (334516)
334517,irr_cep,cep,goods,Irradiation apparatus manufacturing,Irradiation apparatus manufacturing (334517)
33451A,wcm_cep,cep,goods,"Watch, clock, and other measuring and controlling device manufacturing","Watch, clock, and other measuring and controlling device manufacturing (33451A)"
334300,aud_cep,cep,goods,Audio and video equipment manufacturing,Audio and video equipment manufacturing (334300)
334610,mmo_cep,cep,goods,Manufacturing and reproducing magnetic and optical media,Manufacturing and reproducing magnetic and optical media (334610)
335110,elb_eec,eec,goods,Electric lamp bulb and part manufacturing,Electric lamp bulb and part manufacturing (335110)
335120,ltf_eec,eec,goods,Lighting fixture manufacturing,Lighting fixture manufacturing (335120)
335210,sea_eec,eec,goods,Small electrical appliance manufacturing,Small electrical appliance manufacturing (335210)
335221,hca_eec,eec,goods,Household cooking appliance manufacturing,Household cooking appliance manufacturing (335221)
335222,hrf_eec,eec,goods,Household refrigerator and home freezer manufacturing,Household refrigerator and home freezer manufacturing (335222)
335224,hle_eec,eec,goods,Household laundry equipment manufacturing,Household laundry equipment manufacturing (335224)
335228,omh_eec,eec,goods,Other major household appliance manufacturing,Other major household appliance manufacturing (335228)
335311,pwr_eec,eec,goods,"Power, distribution, and specialty transformer manufacturing","Power, distribution, and specialty transformer manufacturing (335311)"
335312,mtg_eec,eec,goods,Motor and generator manufacturing,Motor and generator manufacturing (335312)
335313,swt_eec,eec,goods,Switchgear and switchboard apparatus manufacturing,Switchgear and switchboard apparatus manufacturing (335313)
335314,ric_eec,eec,goods,Relay and industrial control manufacturing,Relay and industrial control manufacturing (335314)
335911,sbt_eec,eec,goods,Storage battery manufacturing,Storage battery manufacturing (335911)
335912,pbt_eec,eec,goods,Primary battery manufacturing,Primary battery manufacturing (335912)
335920,cme_eec,eec,goods,Communication and energy wire and cable manufacturing,Communication and energy wire and cable manufacturing (335920)
335930,wdv_eec,eec,goods,Wiring device manufacturing,Wiring device manufacturing (335930)
335991,cbn_eec,eec,goods,Carbon and graphite product manufacturing,Carbon and graphite product manufacturing (335991)
335999,oee_eec,eec,goods,All other miscellaneous electrical equipment and component manufacturing,All other miscellaneous electrical equipment and component manufacturing (335999)
336111,atm_mot,mot,goods,Automobile manufacturing,Automobile manufacturing (336111)
336112,ltr_mot,mot,goods,Light truck and utility vehicle manufacturing,Light truck and utility vehicle manufacturing (336112)
336120,htr_mot,mot,goods,Heavy duty truck manufacturing,Heavy duty truck manufacturing (336120)
336211,mbd_mot,mot,goods,Motor vehicle body manufacturing,Motor vehicle body manufacturing (336211)
336212,trl_mot,mot,goods,Truck trailer manufacturing,Truck trailer manufacturing (336212)
336213,hom_mot,mot,goods,Motor home manufacturing,Motor home manufacturing (336213)
336214,cam_mot,mot,goods,Travel trailer and camper manufacturing,Travel trailer and camper manufacturing (336214)
336310,gas_mot,mot,goods,Motor vehicle gasoline engine and engine parts manufacturing,Motor vehicle gasoline engine and engine parts manufacturing (336310)
